age_years,best_deal_platform,best_price,condition_score,fuel_type,kms_reading,location,make,model,price_cardekho,price_cartrade,price_carwale,price_olx,price_per_km,price_sahivalue,price_spinny,scraped_at,source_platforms,transmission,variant,vehicle_id,year
2,cardekho,603389,0.75,CNG,18902,"Jaipur, Rajasthan",Nissan,Unknown,603389,,,,31.92,,,2025-07-02T11:51:37.821909,cardekho,CVT,VX,cardekho_000037,2022
6,cardekho,330011,0.61,Diesel,51945,"Kanpur, Uttar Pradesh",Hyundai,Grand i10,330011,,,,6.35,,,2025-07-02T11:51:37.821909,cardekho,AMT,LX,cardekho_000038,2018
8,cartrade,330537,0.42,Petrol,116172,"Indore, Madhya Pradesh",Toyota,Corolla,,330537,,,2.85,,,2025-07-02T11:51:37.821909,cartrade,Manual,LX,cartrade_000039,2016
9,carwale,709284,0.4,Diesel,119364,"Bangalore, Karnataka",Mercedes-Benz,GLA,,,709284,,5.94,,,2025-07-02T11:51:37.821909,carwale,CVT,Top,carwale_000040,2015
4,sahivalue,369087,0.61,CNG,51320,"Thane, Maharashtra",Tata,Tigor,,,,,7.19,369087,,2025-07-02T11:51:37.821909,sahivalue,CVT,ZX,sahivalue_000041,2020
3,cardekho,495602,0.73,Hybrid,25828,"Thane, Maharashtra",Skoda,Unknown,495602,,,,19.19,,,2025-07-02T11:51:37.821909,cardekho,AMT,SX,cardekho_000042,2021
9,sahivalue,185611,0.48,Petrol,83483,"Kolkata, West Bengal",Skoda,Unknown,,,,,2.22,185611,,2025-07-02T11:51:37.821909,sahivalue,CVT,VX,sahivalue_000043,2015
2,cartrade,586076,0.61,Petrol,35093,"Kanpur, Uttar Pradesh",Jeep,Unknown,,586076,,,16.7,,,2025-07-02T11:51:37.821909,cartrade,Manual,Base,cartrade_000044,2022
6,cartrade,275762,0.42,CNG,115403,"Indore, Madhya Pradesh",Skoda,Unknown,,275762,,,2.39,,,2025-07-02T11:51:37.821909,cartrade,CVT,ZX,cartrade_000045,2018
3,olx,505910,0.73,Hybrid,24638,"Mumbai, Maharashtra",Chevrolet,Unknown,,,,505910,20.53,,,2025-07-02T11:51:37.821909,olx,CVT,Top,olx_000046,2021
0,sahivalue,3026501,1.0,CNG,4617,"Nagpur, Maharashtra",Mercedes-Benz,GLA,,,,,655.51,3026501,,2025-07-02T11:51:37.821909,sahivalue,AMT,SX,sahivalue_000047,2024
6,carwale,1033751,0.46,Petrol,102872,"Pune, Maharashtra",Mercedes-Benz,GLA,,,1033751,,10.05,,,2025-07-02T11:51:37.821909,carwale,Manual,EX,carwale_000048,2018
1,sahivalue,718148,0.63,Hybrid,18392,"Hyderabad, Telangana",Ford,Unknown,,,,,39.05,718148,,2025-07-02T11:51:37.821909,sahivalue,Automatic,LX,sahivalue_000049,2023
2,sahivalue,522916,0.63,Diesel,32319,"Hyderabad, Telangana",Tata,Nexon,,,,,16.18,522916,,2025-07-02T11:51:37.821909,sahivalue,CVT,EX,sahivalue_000050,2022
4,sahivalue,297215,0.5,Petrol,75411,"Lucknow, Uttar Pradesh",Maruti Suzuki,Baleno,,,,,3.94,297215,,2025-07-02T11:51:37.821909,sahivalue,Automatic,SX,sahivalue_000051,2020
1,cartrade,2324214,0.78,Electric,10219,"Nagpur, Maharashtra",BMW,7 Series,,2324214,,,227.44,,,2025-07-02T11:51:37.821909,cartrade,Manual,Top,cartrade_000052,2023
2,cartrade,601659,0.6,Petrol,36009,"Visakhapatnam, Andhra Pradesh",MG,Unknown,,601659,,,16.71,,,2025-07-02T11:51:37.821909,cartrade,Automatic,LX,cartrade_000053,2022
8,carwale,269364,0.32,Petrol,161076,"Ahmedabad, Gujarat",Volkswagen,Unknown,,,269364,,1.67,,,2025-07-02T11:51:37.821909,carwale,Manual,EX,carwale_000054,2016
0,olx,637164,1.0,CNG,4153,"Delhi, Delhi",Maruti Suzuki,Ertiga,,,,637164,153.42,,,2025-07-02T11:51:37.821909,olx,Automatic,Base,olx_000055,2024
4,cardekho,416682,0.56,Diesel,62168,"Pune, Maharashtra",Nissan,Unknown,416682,,,,6.7,,,2025-07-02T11:51:37.821909,cardekho,CVT,SX,cardekho_000056,2020
3,spinny,496581,0.65,Petrol,39651,"Pune, Maharashtra",Hyundai,Elite i20,,,,,12.52,,496581,2025-07-02T11:51:37.821909,spinny,AMT,Mid,spinny_000057,2021
2,olx,709041,0.6,Hybrid,35829,"Pune, Maharashtra",Mahindra,Bolero,,,,709041,19.79,,,2025-07-02T11:51:37.821909,olx,CVT,ZX,olx_000058,2022
9,spinny,169574,0.48,Hybrid,81954,"Nagpur, Maharashtra",Skoda,Unknown,,,,,2.07,,169574,2025-07-02T11:51:37.821909,spinny,AMT,Base,spinny_000059,2015
7,carwale,380629,0.39,CNG,128986,"Mumbai, Maharashtra",Toyota,Glanza,,,380629,,2.95,,,2025-07-02T11:51:37.821909,carwale,CVT,EX,carwale_000060,2017
2,cartrade,637215,0.54,Hybrid,42902,"Jaipur, Rajasthan",Mahindra,Scorpio,,637215,,,14.85,,,2025-07-02T11:51:37.821909,cartrade,Automatic,SX,cartrade_000061,2022
2,spinny,697742,0.6,Electric,36274,"Nagpur, Maharashtra",Volkswagen,Unknown,,,,,19.24,,697742,2025-07-02T11:51:37.821909,spinny,AMT,LX,spinny_000062,2022
1,olx,617916,0.81,Hybrid,8548,"Indore, Madhya Pradesh",Hyundai,Tucson,,,,617916,72.29,,,2025-07-02T11:51:37.822910,olx,CVT,VX,olx_000063,2023
3,olx,1802716,0.72,Diesel,27309,"Indore, Madhya Pradesh",Mercedes-Benz,C-Class,,,,1802716,66.01,,,2025-07-02T11:51:37.822910,olx,Manual,EX,olx_000064,2021
0,carwale,640929,1.0,Hybrid,553,"Bangalore, Karnataka",Tata,Harrier,,,640929,,1159.0,,,2025-07-02T11:51:37.822910,carwale,CVT,Base,carwale_000065,2024
5,sahivalue,384936,0.57,Petrol,63570,"Hyderabad, Telangana",Chevrolet,Unknown,,,,,6.06,384936,,2025-07-02T11:51:37.822910,sahivalue,Manual,VX,sahivalue_000066,2019
5,cardekho,320106,0.65,Electric,42377,"Lucknow, Uttar Pradesh",Renault,Unknown,320106,,,,7.55,,,2025-07-02T11:51:37.822910,cardekho,CVT,Top,cardekho_000067,2019
9,spinny,247697,0.36,CNG,140077,"Bhopal, Madhya Pradesh",Honda,CR-V,,,,,1.77,,247697,2025-07-02T11:51:37.822910,spinny,CVT,Top,spinny_000068,2015
8,cardekho,233796,0.48,Petrol,89034,"Pune, Maharashtra",Ford,Unknown,233796,,,,2.63,,,2025-07-02T11:51:37.822910,cardekho,Manual,EX,cardekho_000069,2016
7,carwale,267037,0.42,Hybrid,119860,"Visakhapatnam, Andhra Pradesh",MG,Unknown,,,267037,,2.23,,,2025-07-02T11:51:37.822910,carwale,CVT,Base,carwale_000070,2017
2,carwale,681604,0.65,Diesel,30923,"Chennai, Tamil Nadu",Volkswagen,Unknown,,,681604,,22.04,,,2025-07-02T11:51:37.822910,carwale,Manual,EX,carwale_000071,2022
9,sahivalue,141378,0.37,CNG,137843,"Hyderabad, Telangana",Maruti Suzuki,Vitara Brezza,,,,,1.03,141378,,2025-07-02T11:51:37.822910,sahivalue,AMT,LX,sahivalue_000072,2015
4,sahivalue,583871,0.62,CNG,50512,"Kanpur, Uttar Pradesh",Toyota,Fortuner,,,,,11.56,583871,,2025-07-02T11:51:37.822910,sahivalue,CVT,SX,sahivalue_000073,2020
9,cardekho,199779,0.32,CNG,161542,"Kolkata, West Bengal",Hyundai,Verna,199779,,,,1.24,,,2025-07-02T11:51:37.822910,cardekho,Manual,Base,cardekho_000074,2015
7,cartrade,205314,0.46,Hybrid,101823,"Bhopal, Madhya Pradesh",Maruti Suzuki,Vitara Brezza,,205314,,,2.02,,,2025-07-02T11:51:37.822910,cartrade,AMT,LX,cartrade_000075,2017
3,cardekho,497155,0.59,Hybrid,48797,"Hyderabad, Telangana",MG,Unknown,497155,,,,10.19,,,2025-07-02T11:51:37.822910,cardekho,CVT,LX,cardekho_000076,2021
3,olx,474604,0.7,Petrol,29572,"Kolkata, West Bengal",Renault,Unknown,,,,474604,16.05,,,2025-07-02T11:51:37.822910,olx,CVT,Top,olx_000077,2021
5,spinny,419333,0.62,Petrol,51475,"Hyderabad, Telangana",Kia,Unknown,,,,,8.15,,419333,2025-07-02T11:51:37.822910,spinny,Automatic,ZX,spinny_000078,2019
0,cardekho,955726,1.0,Electric,0,"Kolkata, West Bengal",Mahindra,KUV100,955726,,,,955726.0,,,2025-07-02T11:51:37.822910,cardekho,AMT,EX,cardekho_000079,2024
5,spinny,387121,0.49,Petrol,88428,"Jaipur, Rajasthan",MG,Unknown,,,,,4.38,,387121,2025-07-02T11:51:37.822910,spinny,CVT,Base,spinny_000080,2019
7,olx,207372,0.57,Hybrid,60855,"Hyderabad, Telangana",Tata,Altroz,,,,207372,3.41,,,2025-07-02T11:51:37.822910,olx,AMT,Mid,olx_000081,2017
5,spinny,1350582,0.57,CNG,65207,"Delhi, Delhi",Audi,TT,,,,,20.71,,1350582,2025-07-02T11:51:37.822910,spinny,AMT,VX,spinny_000082,2019
3,olx,523723,0.76,Hybrid,20524,"Mumbai, Maharashtra",Skoda,Unknown,,,,523723,25.52,,,2025-07-02T11:51:37.822910,olx,Automatic,ZX,olx_000083,2021
1,olx,846489,0.8,Hybrid,9032,"Hyderabad, Telangana",Volkswagen,Unknown,,,,846489,93.72,,,2025-07-02T11:51:37.822910,olx,Manual,EX,olx_000084,2023
4,cartrade,452556,0.55,Electric,65038,"Delhi, Delhi",Chevrolet,Unknown,,452556,,,6.96,,,2025-07-02T11:51:37.822910,cartrade,CVT,LX,cartrade_000085,2020
1,spinny,831271,0.78,Electric,9989,"Bhopal, Madhya Pradesh",Honda,Jazz,,,,,83.22,,831271,2025-07-02T11:51:37.822910,spinny,Manual,SX,spinny_000086,2023
5,olx,1203774,0.61,Electric,53366,"Kolkata, West Bengal",Audi,A8,,,,1203774,22.56,,,2025-07-02T11:51:37.822910,olx,CVT,Mid,olx_000087,2019
5,spinny,425248,0.63,Diesel,49044,"Kolkata, West Bengal",Honda,BR-V,,,,,8.67,,425248,2025-07-02T11:51:37.822910,spinny,Manual,EX,spinny_000088,2019
4,cartrade,447281,0.69,Hybrid,33221,"Lucknow, Uttar Pradesh",Ford,Unknown,,447281,,,13.46,,,2025-07-02T11:51:37.822910,cartrade,Manual,VX,cartrade_000089,2020
2,spinny,559437,0.72,Petrol,22129,"Kolkata, West Bengal",Jeep,Unknown,,,,,25.28,,559437,2025-07-02T11:51:37.822910,spinny,Automatic,LX,spinny_000090,2022
8,cartrade,704397,0.38,Petrol,136181,"Hyderabad, Telangana",BMW,X1,,704397,,,5.17,,,2025-07-02T11:51:37.822910,cartrade,AMT,SX,cartrade_000091,2016
6,olx,324531,0.44,Petrol,109310,"Bangalore, Karnataka",Ford,Unknown,,,,324531,2.97,,,2025-07-02T11:51:37.822910,olx,Automatic,Mid,olx_000092,2018
0,cardekho,663189,1.0,Diesel,2824,"Bangalore, Karnataka",Tata,Nexon,663189,,,,234.84,,,2025-07-02T11:51:37.822910,cardekho,Automatic,Top,cardekho_000093,2024
6,cartrade,334131,0.51,Hybrid,85698,"Bhopal, Madhya Pradesh",Mahindra,Marazzo,,334131,,,3.9,,,2025-07-02T11:51:37.822910,cartrade,AMT,ZX,cartrade_000094,2018
7,spinny,330772,0.36,Petrol,141337,"Mumbai, Maharashtra",Honda,Accord,,,,,2.34,,330772,2025-07-02T11:51:37.822910,spinny,AMT,Mid,spinny_000095,2017
3,sahivalue,650761,0.73,Electric,25272,"Bangalore, Karnataka",Volkswagen,Unknown,,,,,25.75,650761,,2025-07-02T11:51:37.822910,sahivalue,AMT,Top,sahivalue_000096,2021
0,olx,837881,1.0,Petrol,0,"Pune, Maharashtra",Ford,Unknown,,,,837881,837881.0,,,2025-07-02T11:51:37.822910,olx,AMT,VX,olx_000097,2024
5,spinny,388714,0.56,Hybrid,66322,"Indore, Madhya Pradesh",Hyundai,Tucson,,,,,5.86,,388714,2025-07-02T11:51:37.822910,spinny,Manual,SX,spinny_000098,2019
7,cardekho,239549,0.5,Diesel,87326,"Delhi, Delhi",Hyundai,Tucson,239549,,,,2.74,,,2025-07-02T11:51:37.822910,cardekho,Automatic,Top,cardekho_000099,2017
3,cardekho,1417567,0.59,CNG,48810,"Hyderabad, Telangana",BMW,X1,1417567,,,,29.04,,,2025-07-02T11:51:38.830207,cardekho,CVT,SX,cardekho_000000,2021
9,cartrade,173501,0.49,Hybrid,75143,"Hyderabad, Telangana",Skoda,Unknown,,173501,,,2.31,,,2025-07-02T11:51:38.830207,cartrade,CVT,VX,cartrade_000001,2015
8,spinny,240660,0.41,Petrol,121079,"Chennai, Tamil Nadu",Kia,Unknown,,,,,1.99,,240660,2025-07-02T11:51:38.830207,spinny,Automatic,VX,spinny_000002,2016
0,spinny,800939,1.0,Electric,0,"Indore, Madhya Pradesh",Skoda,Unknown,,,,,800939.0,,800939,2025-07-02T11:51:38.830207,spinny,Manual,Base,spinny_000003,2024
3,olx,480632,0.56,Petrol,53438,"Jaipur, Rajasthan",MG,Unknown,,,,480632,8.99,,,2025-07-02T11:51:38.830207,olx,Automatic,EX,olx_000004,2021
9,spinny,243640,0.37,Hybrid,135701,"Indore, Madhya Pradesh",Volkswagen,Unknown,,,,,1.8,,243640,2025-07-02T11:51:38.830207,spinny,CVT,EX,spinny_000005,2015
3,carwale,1766727,0.54,Diesel,57864,"Indore, Madhya Pradesh",Audi,Q5,,,1766727,,30.53,,,2025-07-02T11:51:38.830207,carwale,Manual,EX,carwale_000006,2021
0,sahivalue,828448,1.0,Electric,0,"Visakhapatnam, Andhra Pradesh",Mahindra,XUV500,,,,,828448.0,828448,,2025-07-02T11:51:38.830207,sahivalue,CVT,Base,sahivalue_000007,2024
2,cartrade,614879,0.6,Electric,36156,"Visakhapatnam, Andhra Pradesh",Ford,Unknown,,614879,,,17.01,,,2025-07-02T11:51:38.830207,cartrade,Manual,LX,cartrade_000008,2022
6,sahivalue,1169387,0.44,Electric,108676,"Bhopal, Madhya Pradesh",Mercedes-Benz,GLE,,,,,10.76,1169387,,2025-07-02T11:51:38.830207,sahivalue,Automatic,VX,sahivalue_000009,2018
3,spinny,1409170,0.63,Petrol,42655,"Nagpur, Maharashtra",BMW,X1,,,,,33.04,,1409170,2025-07-02T11:51:38.830207,spinny,AMT,Top,spinny_000010,2021
4,olx,600165,0.51,Petrol,74556,"Pune, Maharashtra",Toyota,Camry,,,,600165,8.05,,,2025-07-02T11:51:38.830207,olx,Automatic,LX,olx_000011,2020
0,sahivalue,725262,1.0,Hybrid,0,"Thane, Maharashtra",Hyundai,Santro,,,,,725262.0,725262,,2025-07-02T11:51:38.830207,sahivalue,CVT,VX,sahivalue_000012,2024
2,olx,604344,0.66,Electric,29336,"Indore, Madhya Pradesh",MG,Unknown,,,,604344,20.6,,,2025-07-02T11:51:38.830207,olx,Automatic,VX,olx_000013,2022
7,carwale,896612,0.56,Electric,61258,"Nagpur, Maharashtra",Audi,Q3,,,896612,,14.64,,,2025-07-02T11:51:38.830207,carwale,AMT,Mid,carwale_000014,2017
0,sahivalue,834143,1.0,Electric,2457,"Thane, Maharashtra",Kia,Unknown,,,,,339.5,834143,,2025-07-02T11:51:38.830207,sahivalue,AMT,Top,sahivalue_000015,2024
9,olx,168139,0.45,Petrol,97513,"Chennai, Tamil Nadu",MG,Unknown,,,,168139,1.72,,,2025-07-02T11:51:38.830207,olx,Automatic,Base,olx_000016,2015
5,cardekho,322115,0.49,CNG,87921,"Thane, Maharashtra",Chevrolet,Unknown,322115,,,,3.66,,,2025-07-02T11:51:38.830207,cardekho,AMT,ZX,cardekho_000017,2019
4,sahivalue,1455670,0.58,Electric,58648,"Bangalore, Karnataka",Mercedes-Benz,E-Class,,,,,24.82,1455670,,2025-07-02T11:51:38.830207,sahivalue,AMT,Mid,sahivalue_000018,2020
9,sahivalue,191974,0.34,Petrol,154293,"Indore, Madhya Pradesh",Nissan,Unknown,,,,,1.24,191974,,2025-07-02T11:51:38.830207,sahivalue,Manual,Mid,sahivalue_000019,2015
9,spinny,301272,0.38,Petrol,129965,"Pune, Maharashtra",Toyota,Etios,,,,,2.32,,301272,2025-07-02T11:51:38.830207,spinny,Manual,ZX,spinny_000020,2015
8,carwale,157828,0.35,Hybrid,149199,"Ahmedabad, Gujarat",Maruti Suzuki,Ciaz,,,157828,,1.06,,,2025-07-02T11:51:38.830207,carwale,AMT,Base,carwale_000021,2016
1,cardekho,663786,0.56,Hybrid,23396,"Delhi, Delhi",Ford,Unknown,663786,,,,28.37,,,2025-07-02T11:51:38.830207,cardekho,Automatic,Mid,cardekho_000022,2023
0,spinny,816923,1.0,Hybrid,1844,"Mumbai, Maharashtra",Skoda,Unknown,,,,,443.02,,816923,2025-07-02T11:51:38.830207,spinny,Manual,ZX,spinny_000023,2024
8,carwale,213869,0.43,CNG,110338,"Kanpur, Uttar Pradesh",Renault,Unknown,,,213869,,1.94,,,2025-07-02T11:51:38.830207,carwale,Manual,VX,carwale_000024,2016
9,cardekho,177533,0.39,Petrol,128197,"Kanpur, Uttar Pradesh",Renault,Unknown,177533,,,,1.38,,,2025-07-02T11:51:38.830207,cardekho,AMT,EX,cardekho_000025,2015
0,olx,764983,1.0,Diesel,2195,"Thane, Maharashtra",Skoda,Unknown,,,,764983,348.51,,,2025-07-02T11:51:38.830207,olx,AMT,Base,olx_000026,2024
1,cartrade,650293,0.82,Hybrid,7916,"Lucknow, Uttar Pradesh",Renault,Unknown,,650293,,,82.15,,,2025-07-02T11:51:38.830207,cartrade,Automatic,VX,cartrade_000027,2023
3,sahivalue,363703,0.67,Hybrid,35556,"Indore, Madhya Pradesh",Maruti Suzuki,Ciaz,,,,,10.23,363703,,2025-07-02T11:51:38.830207,sahivalue,CVT,VX,sahivalue_000028,2021
1,sahivalue,822204,0.86,Electric,5607,"Jaipur, Rajasthan",Volkswagen,Unknown,,,,,146.64,822204,,2025-07-02T11:51:38.830207,sahivalue,AMT,LX,sahivalue_000029,2023
2,olx,812890,0.64,Petrol,31894,"Visakhapatnam, Andhra Pradesh",Toyota,Glanza,,,,812890,25.49,,,2025-07-02T11:51:38.830207,olx,Automatic,Top,olx_000030,2022
0,olx,612001,1.0,Petrol,0,"Chennai, Tamil Nadu",Maruti Suzuki,Swift,,,,612001,612001.0,,,2025-07-02T11:51:38.830207,olx,CVT,EX,olx_000031,2024
7,olx,887433,0.47,Petrol,99694,"Bangalore, Karnataka",Mercedes-Benz,GLA,,,,887433,8.9,,,2025-07-02T11:51:38.830207,olx,AMT,VX,olx_000032,2017
6,cartrade,328082,0.47,Hybrid,99477,"Kanpur, Uttar Pradesh",Chevrolet,Unknown,,328082,,,3.3,,,2025-07-02T11:51:38.830207,cartrade,Manual,EX,cartrade_000033,2018
1,olx,2747668,0.67,Electric,16366,"Chennai, Tamil Nadu",Mercedes-Benz,GLA,,,,2747668,167.89,,,2025-07-02T11:51:38.830207,olx,AMT,LX,olx_000034,2023
4,olx,388525,0.52,CNG,70972,"Chennai, Tamil Nadu",MG,Unknown,,,,388525,5.47,,,2025-07-02T11:51:38.830207,olx,Manual,SX,olx_000035,2020
4,carwale,630339,0.52,CNG,72771,"Delhi, Delhi",Toyota,Urban Cruiser,,,630339,,8.66,,,2025-07-02T11:51:38.830207,carwale,CVT,EX,carwale_000036,2020
0,olx,830119,1.0,Hybrid,0,"Kanpur, Uttar Pradesh",Chevrolet,Unknown,,,,830119,830119.0,,,2025-07-02T11:51:38.830207,olx,AMT,Mid,olx_000037,2024
4,spinny,381916,0.53,Electric,69221,"Visakhapatnam, Andhra Pradesh",Skoda,Unknown,,,,,5.52,,381916,2025-07-02T11:51:38.830207,spinny,Manual,SX,spinny_000038,2020
5,spinny,369499,0.59,Electric,59612,"Nagpur, Maharashtra",MG,Unknown,,,,,6.2,,369499,2025-07-02T11:51:38.830207,spinny,AMT,EX,spinny_000039,2019
1,spinny,728097,0.64,Diesel,17966,"Jaipur, Rajasthan",Nissan,Unknown,,,,,40.53,,728097,2025-07-02T11:51:38.830207,spinny,AMT,LX,spinny_000040,2023
1,olx,941019,0.61,Electric,19448,"Ahmedabad, Gujarat",Toyota,Fortuner,,,,941019,48.39,,,2025-07-02T11:51:38.830207,olx,AMT,LX,olx_000041,2023
