vehicle_id,make,model,year,price,kms_driven,fuel_type,transmission,location,source,condition_score,scraped_at,listing_age_days,seller_type,verified,images_count,description,features
realtime_013,Tata,Harrier,2019,750134,45800,Diesel,Manual,Ahmedabad,cartrade,0.59,2025-07-24T14:56:31.318236,10,Dealer,True,18,Tata Harrier 2019 in excellent condition,"['Music System', 'Central Locking', 'Fog Lights', 'Airbags', 'Power Steering']"
realtime_014,Honda,Amaze,2023,381953,12703,Petrol,Automatic,Pune,spinny,0.84,2025-07-24T14:56:31.318236,26,Dealer,True,16,Honda Amaze 2023 in excellent condition,"['AC', 'Fog Lights', 'Power Windows', 'Music System', 'Airbags', 'Alloy Wheels', 'ABS']"
realtime_015,Honda,WR-V,2023,602962,8973,Diesel,Manual,Pune,olx,1.0,2025-07-24T14:56:31.318236,11,Individual,True,10,Honda WR-V 2023 in excellent condition,"['Music System', 'Alloy Wheels', 'ABS', 'AC', 'Power Windows']"
realtime_016,Mahindra,Thar,2019,809044,42044,Diesel,Manual,Lucknow,cartrade,0.61,2025-07-24T14:56:31.318236,13,Individual,True,5,Mahindra Thar 2019 in excellent condition,"['Music System', 'Central Locking', 'ABS', 'Power Windows', 'Power Steering', 'AC']"
realtime_017,Maruti Suzuki,Vitara Brezza,2020,463672,57822,Petrol,Automatic,Pune,olx,0.63,2025-07-24T14:56:31.318236,13,Individual,True,15,Maruti Suzuki Vitara Brezza 2020 in excellent condition,"['Central Locking', 'Airbags', 'AC', 'Alloy Wheels', 'Power Windows', 'Power Steering', 'Music System']"
realtime_018,Maruti Suzuki,Swift,2020,314524,34289,CNG,Manual,Bangalore,cartrade,0.8,2025-07-24T14:56:31.318236,5,Individual,True,15,Maruti Suzuki Swift 2020 in excellent condition,"['Central Locking', 'Alloy Wheels', 'ABS', 'Power Windows']"
realtime_019,Hyundai,Venue,2019,429477,74364,Petrol,Manual,Bangalore,cars24,0.61,2025-07-24T14:56:31.318236,12,Individual,True,12,Hyundai Venue 2019 in excellent condition,"['Central Locking', 'Music System', 'Alloy Wheels', 'Airbags', 'Power Windows', 'AC']"
realtime_020,BMW,X1,2022,2392641,21896,Petrol,Automatic,Chennai,spinny,0.85,2025-07-24T14:56:31.318236,17,Individual,True,9,BMW X1 2022 in excellent condition,"['Alloy Wheels', 'Power Windows', 'Power Steering', 'Airbags', 'Central Locking', 'ABS', 'AC']"
realtime_021,BMW,X1,2020,2465309,43410,Petrol,Manual,Mumbai,carwale,0.66,2025-07-24T14:56:31.318236,12,Dealer,True,14,BMW X1 2020 in excellent condition,"['Power Windows', 'Alloy Wheels', 'Music System', 'Central Locking', 'ABS']"
realtime_022,Mercedes-Benz,GLA,2019,2281496,57818,Petrol,Automatic,Pune,olx,0.62,2025-07-24T14:56:31.318236,30,Individual,False,20,Mercedes-Benz GLA 2019 in excellent condition,"['Alloy Wheels', 'Fog Lights', 'ABS', 'AC', 'Power Steering', 'Power Windows']"
realtime_023,Maruti Suzuki,WagonR,2021,236369,35101,CNG,Automatic,Hyderabad,carwale,0.71,2025-07-24T14:56:31.318236,19,Individual,True,5,Maruti Suzuki WagonR 2021 in excellent condition,"['ABS', 'Airbags', 'Central Locking']"
realtime_024,Hyundai,Venue,2024,660774,1000,Petrol,Automatic,Lucknow,cartrade,1.0,2025-07-24T14:56:31.318236,23,Individual,True,9,Hyundai Venue 2024 in excellent condition,"['Airbags', 'Alloy Wheels', 'Central Locking', 'ABS', 'AC', 'Music System', 'Power Windows']"
realtime_025,Maruti Suzuki,Vitara Brezza,2024,782555,1000,Petrol,Manual,Delhi,cardekho,1.0,2025-07-24T14:56:31.318236,2,Individual,True,17,Maruti Suzuki Vitara Brezza 2024 in excellent condition,"['Music System', 'Power Steering', 'Power Windows', 'Alloy Wheels']"
realtime_026,Mahindra,Bolero,2019,440713,39939,Diesel,Manual,Bangalore,cars24,0.77,2025-07-24T14:56:31.318236,11,Dealer,False,5,Mahindra Bolero 2019 in excellent condition,"['Power Windows', 'Airbags', 'Power Steering', 'Fog Lights', 'ABS']"
realtime_027,Audi,Q3,2019,1978265,53660,Petrol,Automatic,Kolkata,spinny,0.71,2025-07-24T14:56:31.318236,8,Individual,True,10,Audi Q3 2019 in excellent condition,"['Airbags', 'Music System', 'AC', 'Central Locking', 'Fog Lights', 'ABS', 'Power Steering']"
realtime_028,Maruti Suzuki,Alto K10,2018,207303,52839,CNG,Manual,Hyderabad,cars24,0.57,2025-07-24T14:56:31.318236,17,Dealer,False,6,Maruti Suzuki Alto K10 2018 in excellent condition,"['Fog Lights', 'Central Locking', 'Power Windows', 'Power Steering']"
realtime_029,Toyota,Innova Crysta,2019,795022,60120,Petrol,Manual,Mumbai,spinny,0.64,2025-07-24T14:56:31.318236,19,Dealer,True,13,Toyota Innova Crysta 2019 in excellent condition,"['Central Locking', 'Airbags', 'Power Windows', 'AC', 'Power Steering']"
realtime_030,BMW,3 Series,2020,2300560,38260,Petrol,Automatic,Jaipur,olx,0.81,2025-07-24T14:56:31.318236,8,Dealer,True,11,BMW 3 Series 2020 in excellent condition,"['Power Windows', 'ABS', 'Music System']"
realtime_031,Honda,WR-V,2021,399635,38437,Diesel,Manual,Delhi,cardekho,0.73,2025-07-24T14:56:31.318236,16,Individual,True,10,Honda WR-V 2021 in excellent condition,"['AC', 'Fog Lights', 'Music System', 'Alloy Wheels', 'Airbags', 'ABS']"
realtime_032,Hyundai,Grand i10 Nios,2023,336346,11084,Petrol,Automatic,Delhi,olx,0.86,2025-07-24T14:56:31.318236,1,Individual,True,6,Hyundai Grand i10 Nios 2023 in excellent condition,"['Music System', 'AC', 'Power Windows', 'Alloy Wheels', 'Power Steering', 'Airbags']"
realtime_033,Honda,Jazz,2021,367758,42739,Petrol,Automatic,Mumbai,cardekho,0.81,2025-07-24T14:56:31.318236,6,Dealer,False,16,Honda Jazz 2021 in excellent condition,"['AC', 'Airbags', 'Alloy Wheels', 'Fog Lights', 'ABS']"
realtime_034,Mercedes-Benz,C-Class,2019,3262991,68773,Petrol,Manual,Mumbai,carwale,0.61,2025-07-24T14:56:31.318236,24,Dealer,False,12,Mercedes-Benz C-Class 2019 in excellent condition,"['Fog Lights', 'Music System', 'ABS', 'Power Windows']"
realtime_035,Hyundai,Verna,2024,795745,1000,Diesel,Automatic,Ahmedabad,carwale,0.96,2025-07-24T14:56:31.318236,29,Dealer,False,7,Hyundai Verna 2024 in excellent condition,"['Central Locking', 'Power Steering', 'Music System', 'Alloy Wheels', 'AC']"
realtime_036,Hyundai,Grand i10 Nios,2023,465669,16336,Petrol,Automatic,Hyderabad,spinny,0.89,2025-07-24T14:56:31.318236,5,Dealer,True,13,Hyundai Grand i10 Nios 2023 in excellent condition,"['AC', 'Alloy Wheels', 'Central Locking', 'Power Windows']"
realtime_037,Toyota,Fortuner,2018,1980906,53616,Diesel,Manual,Hyderabad,cardekho,0.55,2025-07-24T14:56:31.318236,23,Individual,True,5,Toyota Fortuner 2018 in excellent condition,"['AC', 'Power Steering', 'Power Windows', 'Fog Lights', 'Alloy Wheels', 'Central Locking']"
realtime_038,Hyundai,Creta,2023,810371,11543,Petrol,Automatic,Lucknow,cardekho,0.87,2025-07-24T14:56:31.318236,1,Individual,True,12,Hyundai Creta 2023 in excellent condition,"['Power Windows', 'Music System', 'Fog Lights', 'AC', 'Power Steering']"
realtime_039,Mahindra,Scorpio,2022,757045,21806,Diesel,Manual,Lucknow,cartrade,0.78,2025-07-24T14:56:31.318236,19,Individual,True,9,Mahindra Scorpio 2022 in excellent condition,"['Fog Lights', 'Central Locking', 'Alloy Wheels', 'Music System']"
realtime_040,Mahindra,XUV700,2024,1318998,1000,Petrol,Automatic,Pune,cartrade,1.0,2025-07-24T14:56:31.318236,28,Individual,True,8,Mahindra XUV700 2024 in excellent condition,"['Airbags', 'Central Locking', 'Music System', 'ABS']"
realtime_041,Hyundai,Creta,2019,661723,57294,Diesel,Manual,Pune,cars24,0.64,2025-07-24T14:56:31.318236,3,Dealer,False,17,Hyundai Creta 2019 in excellent condition,"['Power Windows', 'Airbags', 'Central Locking', 'Power Steering', 'AC', 'ABS', 'Alloy Wheels']"
realtime_042,BMW,X1,2023,2762206,10618,Petrol,Manual,Ahmedabad,spinny,0.96,2025-07-24T14:56:31.318236,12,Dealer,False,11,BMW X1 2023 in excellent condition,"['AC', 'Power Steering', 'Airbags', 'Alloy Wheels']"
realtime_043,Tata,Harrier,2024,1172714,1000,Diesel,Automatic,Bangalore,cardekho,1.0,2025-07-24T14:56:31.318236,21,Individual,False,7,Tata Harrier 2024 in excellent condition,"['Music System', 'Alloy Wheels', 'Power Steering']"
realtime_044,Mercedes-Benz,C-Class,2018,2307341,51211,Petrol,Automatic,Kolkata,cars24,0.68,2025-07-24T14:56:31.318236,8,Individual,True,19,Mercedes-Benz C-Class 2018 in excellent condition,"['AC', 'Central Locking', 'ABS', 'Power Steering', 'Alloy Wheels']"
realtime_045,Audi,A4,2023,3614342,13468,Petrol,Manual,Kolkata,spinny,1.0,2025-07-24T14:56:31.318236,30,Individual,True,20,Audi A4 2023 in excellent condition,"['Airbags', 'Power Steering', 'AC', 'Alloy Wheels', 'ABS']"
realtime_046,Honda,WR-V,2022,433324,15699,Petrol,Manual,Pune,cartrade,0.87,2025-07-24T14:56:31.318236,19,Individual,True,7,Honda WR-V 2022 in excellent condition,"['Fog Lights', 'ABS', 'AC', 'Music System', 'Power Steering', 'Alloy Wheels']"
realtime_047,Toyota,Urban Cruiser,2022,524423,28761,Petrol,Manual,Chennai,carwale,0.96,2025-07-24T14:56:31.318236,4,Dealer,True,19,Toyota Urban Cruiser 2022 in excellent condition,"['Power Steering', 'Power Windows', 'Fog Lights', 'ABS', 'Alloy Wheels', 'Airbags']"
realtime_048,Maruti Suzuki,Alto K10,2022,198965,27582,Petrol,Automatic,Chennai,olx,0.87,2025-07-24T14:56:31.318236,14,Dealer,False,18,Maruti Suzuki Alto K10 2022 in excellent condition,"['AC', 'Power Steering', 'Music System', 'ABS', 'Fog Lights', 'Alloy Wheels']"
realtime_049,Mahindra,Scorpio,2023,754966,9606,Diesel,Automatic,Pune,cartrade,1.0,2025-07-24T14:56:31.318236,20,Individual,False,17,Mahindra Scorpio 2023 in excellent condition,"['AC', 'Central Locking', 'Power Windows', 'Airbags', 'Fog Lights', 'ABS']"
realtime_050,Maruti Suzuki,Alto K10,2023,234750,9725,Petrol,Manual,Pune,spinny,0.91,2025-07-24T14:56:31.318236,6,Individual,True,20,Maruti Suzuki Alto K10 2023 in excellent condition,"['Music System', 'Central Locking', 'Fog Lights', 'Power Windows']"
realtime_051,Tata,Punch,2022,306605,26045,CNG,Automatic,Bangalore,cardekho,0.91,2025-07-24T14:56:31.318236,23,Individual,True,14,Tata Punch 2022 in excellent condition,"['ABS', 'Central Locking', 'Fog Lights', 'AC', 'Power Windows', 'Music System', 'Alloy Wheels']"
realtime_052,Toyota,Fortuner,2022,1547008,23910,Diesel,Manual,Delhi,cardekho,0.83,2025-07-24T14:56:31.318236,4,Individual,True,16,Toyota Fortuner 2022 in excellent condition,"['Power Steering', 'AC', 'Alloy Wheels']"
realtime_053,Hyundai,i20,2024,649073,1000,Diesel,Manual,Lucknow,olx,0.94,2025-07-24T14:56:31.318236,24,Dealer,True,11,Hyundai i20 2024 in excellent condition,"['Fog Lights', 'Alloy Wheels', 'Power Steering']"
realtime_054,Hyundai,Creta,2024,870296,1000,Petrol,Manual,Ahmedabad,cardekho,0.93,2025-07-24T14:56:31.318236,8,Individual,True,5,Hyundai Creta 2024 in excellent condition,"['Airbags', 'Alloy Wheels', 'Power Windows', 'Central Locking', 'Music System']"
realtime_055,Audi,A4,2021,2870805,26128,Petrol,Manual,Chennai,olx,0.86,2025-07-24T14:56:31.318236,1,Individual,False,6,Audi A4 2021 in excellent condition,"['Music System', 'ABS', 'Alloy Wheels', 'Central Locking']"
realtime_056,BMW,X1,2024,3547922,1069,Diesel,Automatic,Jaipur,cartrade,0.94,2025-07-24T14:56:31.318236,7,Dealer,False,19,BMW X1 2024 in excellent condition,"['Music System', 'Power Steering', 'ABS', 'Airbags', 'Power Windows', 'AC', 'Central Locking']"
realtime_057,Hyundai,Creta,2021,493804,36531,Diesel,Automatic,Mumbai,carwale,0.78,2025-07-24T14:56:31.318236,7,Dealer,False,9,Hyundai Creta 2021 in excellent condition,"['Power Steering', 'Central Locking', 'Fog Lights']"
realtime_058,Mercedes-Benz,C-Class,2018,3287703,80935,Petrol,Automatic,Mumbai,cars24,0.62,2025-07-24T14:56:31.318236,29,Dealer,True,18,Mercedes-Benz C-Class 2018 in excellent condition,"['Music System', 'Fog Lights', 'Airbags', 'AC', 'Power Steering', 'Alloy Wheels', 'ABS']"
realtime_059,Tata,Punch,2021,264939,24729,CNG,Automatic,Pune,cartrade,0.75,2025-07-24T14:56:31.318236,12,Individual,True,17,Tata Punch 2021 in excellent condition,"['Power Windows', 'AC', 'Airbags']"
realtime_060,Toyota,Urban Cruiser,2020,561211,51518,Petrol,Manual,Hyderabad,carwale,0.72,2025-07-24T14:56:31.318236,25,Individual,True,7,Toyota Urban Cruiser 2020 in excellent condition,"['AC', 'Central Locking', 'Airbags', 'Power Windows']"
realtime_061,Toyota,Fortuner,2018,1553067,66868,Petrol,Manual,Lucknow,cartrade,0.63,2025-07-24T14:56:31.318236,9,Individual,True,5,Toyota Fortuner 2018 in excellent condition,"['ABS', 'Central Locking', 'Power Windows', 'Music System', 'AC', 'Alloy Wheels']"
realtime_062,Maruti Suzuki,Swift,2024,518467,1359,Petrol,Manual,Ahmedabad,spinny,1.0,2025-07-24T14:56:31.318236,13,Dealer,False,10,Maruti Suzuki Swift 2024 in excellent condition,"['Power Steering', 'Fog Lights', 'Music System', 'Alloy Wheels']"
realtime_063,BMW,3 Series,2022,3074923,29087,Petrol,Automatic,Jaipur,olx,0.82,2025-07-24T14:56:31.318236,5,Dealer,True,16,BMW 3 Series 2022 in excellent condition,"['AC', 'Airbags', 'Music System', 'Alloy Wheels', 'Power Windows', 'Central Locking']"
realtime_064,Mercedes-Benz,C-Class,2024,4329448,1000,Petrol,Manual,Hyderabad,carwale,1.0,2025-07-24T14:56:31.318236,30,Dealer,True,19,Mercedes-Benz C-Class 2024 in excellent condition,"['AC', 'Power Windows', 'ABS', 'Music System', 'Fog Lights', 'Power Steering']"
realtime_065,Maruti Suzuki,Swift,2019,248367,56006,Petrol,Automatic,Kolkata,cars24,0.62,2025-07-24T14:56:31.318236,3,Dealer,True,9,Maruti Suzuki Swift 2019 in excellent condition,"['Power Windows', 'Power Steering', 'Central Locking', 'Alloy Wheels', 'AC', 'ABS']"
realtime_066,Tata,Nexon,2018,408333,72897,Petrol,Manual,Chennai,cars24,0.62,2025-07-24T14:56:31.318236,4,Dealer,True,19,Tata Nexon 2018 in excellent condition,"['Fog Lights', 'ABS', 'Alloy Wheels', 'AC', 'Power Windows', 'Airbags']"
realtime_067,BMW,X1,2020,1695828,55784,Petrol,Automatic,Ahmedabad,olx,0.81,2025-07-24T14:56:31.318236,28,Dealer,True,12,BMW X1 2020 in excellent condition,"['Music System', 'Airbags', 'Fog Lights', 'Central Locking', 'Alloy Wheels']"
realtime_068,Audi,A4,2022,3340545,19741,Petrol,Automatic,Pune,olx,0.9,2025-07-24T14:56:31.318236,2,Dealer,False,17,Audi A4 2022 in excellent condition,"['Power Steering', 'ABS', 'Power Windows', 'Music System', 'AC']"
realtime_069,Honda,Jazz,2020,456081,43751,Petrol,Automatic,Kolkata,spinny,0.65,2025-07-24T14:56:31.318236,8,Individual,False,16,Honda Jazz 2020 in excellent condition,"['Power Windows', 'ABS', 'Alloy Wheels', 'Fog Lights', 'Music System']"
realtime_070,Tata,Nexon,2024,573174,1000,Diesel,Automatic,Pune,spinny,0.94,2025-07-24T14:56:31.318236,14,Dealer,True,20,Tata Nexon 2024 in excellent condition,"['Power Steering', 'Alloy Wheels', 'ABS', 'Power Windows', 'Airbags']"
realtime_071,Hyundai,i20,2019,438549,64449,Diesel,Manual,Hyderabad,cartrade,0.67,2025-07-24T14:56:31.318236,19,Dealer,True,14,Hyundai i20 2019 in excellent condition,"['Airbags', 'Music System', 'Power Windows', 'Central Locking', 'Power Steering']"
realtime_072,Hyundai,Verna,2021,395265,39096,Petrol,Manual,Kolkata,cardekho,0.73,2025-07-24T14:56:31.318236,13,Individual,True,5,Hyundai Verna 2021 in excellent condition,"['Power Windows', 'ABS', 'Fog Lights', 'AC', 'Airbags', 'Alloy Wheels', 'Central Locking']"
realtime_073,Mahindra,XUV700,2018,674214,72129,Diesel,Manual,Bangalore,olx,0.57,2025-07-24T14:56:31.318236,17,Individual,False,14,Mahindra XUV700 2018 in excellent condition,"['Power Steering', 'Fog Lights', 'Power Windows']"
realtime_074,Maruti Suzuki,Alto K10,2018,181960,83317,Petrol,Automatic,Mumbai,cardekho,0.65,2025-07-24T14:56:31.318236,30,Dealer,True,5,Maruti Suzuki Alto K10 2018 in excellent condition,"['AC', 'Power Steering', 'Central Locking']"
realtime_075,Tata,Nexon,2022,467975,25193,Electric,Automatic,Lucknow,cardekho,0.82,2025-07-24T14:56:31.318236,19,Individual,True,5,Tata Nexon 2022 in excellent condition,"['Central Locking', 'Power Windows', 'AC', 'Alloy Wheels']"
realtime_076,Tata,Altroz,2023,478733,10816,Diesel,Automatic,Ahmedabad,cardekho,0.87,2025-07-24T14:56:31.319306,3,Dealer,True,15,Tata Altroz 2023 in excellent condition,"['Power Windows', 'AC', 'Fog Lights', 'Airbags', 'Music System', 'Central Locking', 'Alloy Wheels']"
realtime_077,Toyota,Fortuner,2019,1944742,56287,Petrol,Automatic,Kolkata,carwale,0.64,2025-07-24T14:56:31.319306,18,Dealer,True,8,Toyota Fortuner 2019 in excellent condition,"['Music System', 'Airbags', 'Alloy Wheels', 'Central Locking', 'Power Windows']"
realtime_078,Tata,Harrier,2020,928816,53968,Diesel,Manual,Pune,cartrade,0.73,2025-07-24T14:56:31.319306,18,Dealer,False,5,Tata Harrier 2020 in excellent condition,"['Airbags', 'Power Steering', 'Music System', 'Power Windows', 'Alloy Wheels', 'Central Locking', 'ABS']"
realtime_079,Hyundai,Venue,2023,672668,9584,Diesel,Manual,Lucknow,olx,0.93,2025-07-24T14:56:31.319306,28,Individual,False,13,Hyundai Venue 2023 in excellent condition,"['Alloy Wheels', 'Music System', 'ABS']"
realtime_080,Toyota,Innova Crysta,2019,779699,73713,Diesel,Manual,Pune,cardekho,0.61,2025-07-24T14:56:31.319306,18,Individual,False,17,Toyota Innova Crysta 2019 in excellent condition,"['AC', 'Fog Lights', 'Music System', 'Power Windows', 'Central Locking']"
realtime_081,BMW,3 Series,2020,2360195,56816,Petrol,Automatic,Ahmedabad,olx,0.8,2025-07-24T14:56:31.319306,14,Dealer,True,6,BMW 3 Series 2020 in excellent condition,"['Power Steering', 'Fog Lights', 'Central Locking', 'ABS', 'AC', 'Power Windows', 'Music System']"
realtime_082,Tata,Punch,2019,334545,70283,Petrol,Manual,Bangalore,cars24,0.6,2025-07-24T14:56:31.319306,7,Individual,True,12,Tata Punch 2019 in excellent condition,"['AC', 'Power Windows', 'Airbags', 'Central Locking', 'Power Steering']"
realtime_083,Toyota,Glanza,2023,423461,13964,Petrol,Manual,Lucknow,spinny,0.89,2025-07-24T14:56:31.319306,30,Individual,True,9,Toyota Glanza 2023 in excellent condition,"['AC', 'Airbags', 'Power Windows', 'ABS', 'Fog Lights', 'Central Locking', 'Music System']"
realtime_084,Maruti Suzuki,Dzire,2019,325942,73324,CNG,Automatic,Delhi,cars24,0.69,2025-07-24T14:56:31.319306,29,Individual,False,10,Maruti Suzuki Dzire 2019 in excellent condition,"['Central Locking', 'ABS', 'Alloy Wheels', 'Power Windows', 'AC']"
realtime_085,Hyundai,i20,2023,585313,14398,Petrol,Automatic,Hyderabad,carwale,0.92,2025-07-24T14:56:31.319306,28,Dealer,False,20,Hyundai i20 2023 in excellent condition,"['Alloy Wheels', 'Airbags', 'Central Locking', 'AC', 'Power Windows', 'Fog Lights', 'Music System']"
realtime_086,BMW,3 Series,2019,2374938,69616,Diesel,Automatic,Kolkata,cartrade,0.64,2025-07-24T14:56:31.319306,10,Dealer,False,9,BMW 3 Series 2019 in excellent condition,"['Power Windows', 'Alloy Wheels', 'Airbags', 'Music System']"
realtime_087,Honda,WR-V,2020,540361,56163,Petrol,Manual,Delhi,cartrade,0.77,2025-07-24T14:56:31.319306,14,Dealer,True,10,Honda WR-V 2020 in excellent condition,"['ABS', 'Airbags', 'Music System', 'Power Windows']"
realtime_088,Maruti Suzuki,WagonR,2019,202464,54735,CNG,Manual,Hyderabad,carwale,0.62,2025-07-24T14:56:31.319306,7,Individual,True,16,Maruti Suzuki WagonR 2019 in excellent condition,"['Airbags', 'Alloy Wheels', 'Music System', 'Power Windows', 'Central Locking']"
realtime_089,Hyundai,Grand i10 Nios,2019,231491,44717,CNG,Automatic,Ahmedabad,cartrade,0.66,2025-07-24T14:56:31.319306,27,Dealer,True,5,Hyundai Grand i10 Nios 2019 in excellent condition,"['Power Windows', 'AC', 'ABS', 'Central Locking', 'Fog Lights', 'Power Steering', 'Alloy Wheels']"
realtime_090,Toyota,Innova Crysta,2020,895489,32058,Petrol,Automatic,Jaipur,carwale,0.7,2025-07-24T14:56:31.319306,9,Individual,True,11,Toyota Innova Crysta 2020 in excellent condition,"['ABS', 'Fog Lights', 'Airbags', 'Central Locking']"
realtime_091,Maruti Suzuki,Baleno,2022,291107,29793,CNG,Automatic,Chennai,cars24,0.94,2025-07-24T14:56:31.319306,27,Dealer,True,18,Maruti Suzuki Baleno 2022 in excellent condition,"['ABS', 'AC', 'Central Locking', 'Alloy Wheels']"
realtime_092,BMW,X1,2024,4173472,1000,Diesel,Automatic,Delhi,cars24,0.97,2025-07-24T14:56:31.319306,14,Dealer,False,9,BMW X1 2024 in excellent condition,"['Alloy Wheels', 'Airbags', 'Central Locking', 'AC', 'Fog Lights']"
realtime_093,Mercedes-Benz,GLA,2024,3133744,1000,Petrol,Manual,Ahmedabad,olx,0.95,2025-07-24T14:56:31.319306,25,Dealer,False,7,Mercedes-Benz GLA 2024 in excellent condition,"['Airbags', 'Alloy Wheels', 'ABS']"
realtime_094,BMW,3 Series,2024,2978705,1000,Petrol,Manual,Chennai,cardekho,1.0,2025-07-24T14:56:31.319306,11,Individual,False,9,BMW 3 Series 2024 in excellent condition,"['Power Windows', 'ABS', 'Music System', 'Alloy Wheels', 'Airbags', 'AC', 'Power Steering']"
realtime_095,Toyota,Glanza,2021,326278,38559,CNG,Manual,Pune,cars24,0.8,2025-07-24T14:56:31.319306,25,Individual,False,15,Toyota Glanza 2021 in excellent condition,"['AC', 'Power Steering', 'Alloy Wheels', 'ABS']"
realtime_096,Honda,City,2023,1108281,10193,Petrol,Automatic,Lucknow,cardekho,0.86,2025-07-24T14:56:31.319306,28,Individual,True,14,Honda City 2023 in excellent condition,"['Alloy Wheels', 'Airbags', 'ABS']"
realtime_097,Tata,Punch,2023,429110,9511,CNG,Manual,Delhi,cardekho,0.86,2025-07-24T14:56:31.319306,2,Dealer,True,6,Tata Punch 2023 in excellent condition,"['Airbags', 'Alloy Wheels', 'Power Steering', 'Fog Lights', 'Music System', 'Central Locking']"
realtime_098,Honda,Jazz,2023,537037,11340,Petrol,Manual,Jaipur,cars24,0.86,2025-07-24T14:56:31.319306,2,Individual,True,12,Honda Jazz 2023 in excellent condition,"['Alloy Wheels', 'Power Windows', 'AC', 'Fog Lights']"
realtime_099,Toyota,Innova Crysta,2021,922067,28002,Diesel,Manual,Kolkata,spinny,0.83,2025-07-24T14:56:31.319306,3,Dealer,True,17,Toyota Innova Crysta 2021 in excellent condition,"['Fog Lights', 'ABS', 'Power Steering', 'Music System', 'Alloy Wheels', 'AC']"
realtime_100,BMW,3 Series,2018,2776800,67995,Petrol,Automatic,Chennai,carwale,0.63,2025-07-24T14:56:31.319306,30,Dealer,True,6,BMW 3 Series 2018 in excellent condition,"['Airbags', 'Alloy Wheels', 'Fog Lights', 'ABS']"
